Theta,	Phi,	Horizontal Power Gain,	Vertical Power Gain,	Total Power Gain,	etheta_magnitude,	etheta_phase,	ephi_magnitude,	ephi_phase
194.4,	28.8  ,	-15.7816  ,	11.8501  ,	11.8576  ,	0.122164  ,	41.7355  ,	0.0641928  ,	35.9562
201.6,	28.8  ,	-17.4086  ,	10.8524  ,	10.8589  ,	0.110758  ,	47.9083  ,	0.0535252  ,	42.2576
208.8,	28.8  ,	-19.9264  ,	9.40864  ,	9.41369  ,	0.096139  ,	56.3359  ,	0.040078  ,	50.8264
216,	28.8  ,	-23.6724  ,	7.49144  ,	7.49476  ,	0.0795505  ,	66.8454  ,	0.0254148  ,	61.3749
223.2,	28.8  ,	-29.28  ,	5.10334  ,	5.10492  ,	0.0624179  ,	79.2328  ,	0.0112535  ,	72.9583
230.4,	28.8  ,	-37.6014  ,	2.34092  ,	2.34136  ,	0.0461295  ,	93.2728  ,	0.000983169  ,	-58.5314
237.6,	28.8  ,	-44.0672  ,	-0.505645  ,	-0.505453  ,	0.0318032  ,	108.723  ,	0.0096871  ,	-69.9124
244.8,	28.8  ,	-38.5739  ,	-3.00942  ,	-3.00822  ,	0.0201199  ,	125.309  ,	0.0147085  ,	-52.6876
252,	28.8  ,	-33.9841  ,	-5.09018  ,	-5.08458  ,	0.0112872  ,	142.594  ,	0.0160526  ,	-33.0334
259.2,	28.8  ,	-32.8632  ,	-7.25187  ,	-7.23996  ,	0.00513879  ,	159.224  ,	0.0144232  ,	-11.2598
266.4,	28.8  ,	-34.3605  ,	-10.1333  ,	-10.1169  ,	0.00135451  ,	163.443  ,	0.0109104  ,	13.4989
273.6,	28.8  ,	-39.7377  ,	-14.2316  ,	-14.2194  ,	0.000934565  ,	67.7787  ,	0.00679153  ,	44.7169
280.8,	28.8  ,	-46.4301  ,	-19.2495  ,	-19.2412  ,	0.00144128  ,	88.4104  ,	0.00356518  ,	95.6295
288,	28.8  ,	-38.5147  ,	-20.3963  ,	-20.3299  ,	0.00155022  ,	152.849  ,	0.00301756  ,	170.36
